id,key,octave,steps_from_C,eventType,artistGenre,phrase0_start,phrase0_end,phrase1_start,phrase1_end,phrase2_start,phrase2_end,phrase3_start,phrase3_end,phrase4_start,phrase4_end,phrase5_start,phrase5_end,phrase6_start,phrase6_end,phrase7_start,phrase7_end,phrase8_start,phrase8_end,phrase9_start,phrase9_end,phrase10_start,phrase10_end,phrase11_start,phrase11_end,phrase12_start,phrase12_end,phrase13_start,phrase13_end,phrase14_start,phrase14_end,phrase15_start,phrase15_end,phrase0_diva,phrase1_diva,phrase2_diva,phrase3_diva,phrase4_diva,phrase5_diva,phrase6_diva,phrase7_diva,phrase8_diva,phrase9_diva,phrase10_diva,phrase11_diva,phrase12_diva,phrase13_diva,phrase14_diva,phrase15_diva
lauren-alaina_world-series_2021,E,,4,baseball,country,0.5,5.5,6.1,11.3,11.6,16.6,16.9,22.2,23.1,27.8,28.5,33.2,34,38.7,39.1,44.1,45.7,50.2,50.7,55.7,56.2,60.9,61.4,66.1,66.3,72.1,72.5,79.1,80.8,87.1,87.3,98.4,92.7,298.9,376.4,217.7,138.1,261.2,373.1,240.7,238,394.2,260.2,288.5,518.1,386.2,432.4,358.4
lauren-daigle_ncaa-football-championship_2020,Eb,,3,football,christian,0,7.9,9,14.7,15.7,21.1,21.5,26.9,27.8,32.9,33.6,38.4,39.2,44.3,45,50,51.3,56.2,56.5,61.5,61.6,66.7,67.2,72.2,72.4,78.6,78.7,86.8,87.4,95.1,95.4,108.4,113.5,113.6,264.5,82.7,172.7,122.1,247.9,126.5,458.7,405.1,538,251.8,437.6,742.3,575.2,881.4
leann-rimes_world-series_1997,F,,5,baseball,country,0.4,5.7,6.3,11.7,12,17.5,17.9,23.3,23.7,28.8,29.3,35.1,35.7,41.5,42,47.4,47.9,54.2,54.5,60.7,61.2,67,67.3,73.4,73.7,80.8,81,88.3,88.9,96.3,98.3,108.6,76.1,107.2,241.3,86.2,92.1,92.6,109.3,70.5,112.8,208.2,133.1,120.7,326.9,174.2,744.5,245.1
luke-bryan_stanley-cup-playoffs_2017,Bb,TRUE,-2,hockey,country,0.1,6.4,7,12.7,13.3,18.7,19.1,25.5,26.1,31.6,32.3,38,38.6,44.3,45,51.9,52.7,58.4,58.9,64.2,64.5,69.5,70.1,76.6,76.9,83.1,83.6,90.1,90.5,98.3,99,107.7,118.3,206.3,364,96.1,73.7,92,246.3,135.3,224.1,351.2,358.8,237.3,301.8,464,127.8,114
luke-bryan_super-bowl_2017,A,TRUE,-3,football,country,0.5,8.2,9.3,15.9,17.1,23.8,24.2,31.5,32.3,39.1,39.5,45.5,46.2,52.3,52.9,59.5,60.8,67.2,67.5,73.1,73.5,79,79.9,87.3,88,94.2,94.9,101.2,102,109.1,110,124.7,141.4,222.5,641.3,255.2,131.2,127.5,333.3,247.3,190.9,373.5,284.3,245.1,298.6,343.9,114.5,737
luther-vandross_super-bowl_1997,D,,2,football,rnb,0.4,6.6,7.4,12.5,13.7,19.4,19.9,24.7,25.2,31.6,32.2,37.2,38.4,43.9,44.5,50,50.8,56.4,56.5,62.5,63.1,68.7,69.5,75.1,75.5,82.1,82.6,90.5,91.2,97.2,97.6,112.6,78.4,71.2,356,94.2,64.6,109.6,77.9,70,161.1,269.3,198.7,230,203.3,426,186.4,181.4
madison-beer_stanley-cup-playoffs_2020,Ab,,8,hockey,pop,0.8,6.9,7.5,13.1,13.8,19,19.6,24.9,25.5,30.3,30.9,37.2,37.7,43.2,43.9,48.7,49.3,54.3,54.6,59.8,60.4,65.5,66.4,72.3,72.9,79.6,80,87,87.7,95.8,96.2,111.5,66.5,191.2,381.7,153.7,74.5,211.1,372.7,224.8,123.7,330.4,334.6,341.5,492.8,516.2,567.7,618.2
madison-watkins_world-series_2022,E,,4,baseball,pop,0.5,5.3,5.8,10.5,11.1,15.4,16.2,21.2,21.9,27.1,27.9,32.9,33.5,38.5,39,44.1,45.1,51,51.3,57.3,58,62.9,63.3,70.2,70.6,76.4,77,83.6,86.7,94.4,94.6,106.5,89.7,89.4,260.4,63.1,130.4,99.7,163.8,132.2,599.9,1273.1,142.1,1467.8,240.9,116.3,419.1,1323.4
marc-anthony_dnc_2012,C#,,1,political,pop,0.8,5.9,6.9,11,12.6,17.9,18.6,23.2,24.4,29.9,30.5,35.3,36.4,41.7,42,47,48.1,53.4,54,59,59.8,64.7,65.8,70.8,71.4,77.7,78,85.7,87.3,96.9,97.8,116.6,77.2,260.2,416.4,197.8,150.5,240,364.1,142.8,88,106.3,368.2,112.6,233.3,201.2,195.7,1017
mariah-carey_super-bowl_2002,E,,4,football,pop,0.3,5.7,6.2,11.5,11.9,16.9,17.3,22.7,23.3,28.4,28.8,34.1,34.8,39.8,40.2,45.1,45.7,51.1,51.7,57,57.2,62.1,62.8,67.6,68.2,74.1,74.5,83,83.5,92.9,93.5,116.3,347.5,89.3,299.4,223.3,62.5,221.2,290.7,118.1,136.9,220.7,226.3,250.3,338.4,507.2,332.2,1764.6
martina-mcbride_world-series_2004,F#,,6,baseball,country,0.5,5.8,6.4,11.4,12.2,17.6,18.1,23.6,24.1,29.9,30.5,35.3,35.9,41.7,42.2,47.6,48.4,53.2,53.9,59.2,60.1,65,65.7,71.4,71.9,78.1,78.6,84.4,85.1,93.8,94.4,103.3,54.7,73.4,388,87.8,65.4,114.5,381.1,96.5,191.3,128,304.8,206.7,340.6,230.5,218.9,253
marvin-gaye_nba-allstar-game_1983,C,,0,basketball,rnb,-0.2,6.8,9.1,18.1,20.4,26.7,27,34.5,37.5,47.8,48.9,57.2,60.1,66.1,66.4,72.8,76.9,82.2,83.4,87.8,89,93.9,95,103.7,106,117.7,118.3,127.2,128.8,134.8,137.5,150.1,453.6,160.4,321.2,239.3,401.9,345.4,688.8,268.3,373.7,527.8,226.3,350.7,1124.3,550.7,124.4,799
mary-j-blige_nba-allstar-game_2012,F#,,6,basketball,rnb,0.4,7.4,8.1,12.6,13.1,17.8,18.5,23.1,23.7,29,29.4,34.3,34.8,39.8,40.2,45,45.7,52.5,53,60.1,60.6,66.7,67.2,71.3,71.5,79,79.6,87.4,88.4,95.4,96,110.6,94.5,78,121.6,58,67.6,76.8,137.6,94.2,189.9,280,464.7,471.2,713.7,669.2,210.3,1115.4
mary-j-blige_world-series_2009,F#,,6,baseball,rnb,0.5,9.2,10.3,17.4,18,23.2,23.7,28.4,29.6,35.3,35.8,42,42.6,48,48.5,53.4,54.5,60.9,61.3,67.7,68,74.7,75.3,80.8,81.2,87.5,87.8,95.3,97.2,108.7,109.6,118.8,136.3,152,131.1,73.2,71.1,138.9,132.7,103.6,507.9,213.4,565.9,671.8,250.2,1280.5,810.8,183.8
mary-j-blige_world-series_2013,F,,5,baseball,rnb,0.2,7.2,7.7,13.7,14.4,19.8,20.2,25.7,26.1,32,32.8,38.9,39.4,45.1,45.4,50.6,51.1,59,59.2,65.5,66,71.8,72.2,77.7,78.1,84.3,84.7,95.7,99.6,105.4,105.7,118.3,100.6,171.1,135.3,143.3,108.3,109.2,183.6,109.6,224.7,404.3,394,608.8,225.9,942,135.7,717.6
matthew-morrison_world-series_2012,Bb,TRUE,-2,baseball,broadway,0,3.9,4.5,8.6,9,13.3,13.7,18.2,19,23.2,23.7,27.8,28.6,33.2,33.8,38.2,38.7,43.4,43.6,48.6,49,54,54.4,59.3,59.8,65.5,66,72.5,73.6,81.2,81.6,91.4,55.4,48.3,144.8,168.6,44.8,49.2,96.9,152.7,97.6,113.8,65.7,233.8,197.1,138.6,109.2,276.3
melissa-etheridge_world-series_2002,D,,2,baseball,rock,0.4,6,6.6,12.1,12.9,18.5,18.8,25.2,25.7,31.3,32,36.8,37.4,42.1,42.8,49,50.1,56.3,57,63.6,64.1,69.7,69.9,75.9,76.4,82.6,82.8,90.7,91.4,99.8,101.6,122.4,67.9,154.2,269.6,182.5,74.6,119.1,163.2,76.7,584.4,119.8,114.4,79.3,195.1,225,319.5,328.5
mickey-guyton_super-bowl_2022,G,,7,football,country,0.1,5.1,5.5,10.3,11,16.2,16.7,21.8,22.5,27.4,27.8,32.6,33.2,37.8,38.3,43.2,43.7,48.4,48.7,53.7,53.9,58.7,59.2,66.3,66.4,71.9,72.1,79.6,81,88.1,88.6,110.3,96.9,155.2,129.5,97.3,101.2,187.4,74.6,183.5,229,390.7,215.1,363.7,545.4,531.1,840.9,1457.8
mickey-guyton_world-series_2023,G,,7,baseball,country,0.6,6,6.6,11.9,12.5,18.1,18.6,23.9,24.6,30.4,30.8,35.8,36.8,42.2,42.6,47.9,48.7,54.2,54.5,59.6,60.2,65.5,66.1,71.6,71.9,78.2,78.5,86,87.5,95,97.3,105.5,89.3,81.3,176.4,122.5,168.6,63.6,145.1,59.8,302.5,579.6,99.9,350,404.2,348,256.4,335
natalie-grant_ncaa-football-championship_2022,Ab,,8,football,christian,0,6.3,6.9,10.9,11.4,15.4,15.9,20.2,20.8,26.2,26.7,31,31.8,37.3,38,43.5,44.4,50.1,50.4,55.6,56,61.3,61.8,69.3,69.6,75.6,76.1,84,84.4,93.9,94.2,109.2,79.6,106.6,236.2,165.1,109.9,169.6,311.8,121.3,205,274.2,149,1657.3,655.9,239,808.7,312.7
nayah-damasen_nba-finals_2018,F#,,6,basketball,pop,0.7,6.3,6.8,11.7,12.4,16.7,17,22,22.6,28.2,28.5,33.8,34.4,39.6,40.1,45.3,46.6,52,52.3,58,58.4,64,64.5,71.3,71.6,77.5,78.1,85.7,87,93.5,94.2,104.1,91.1,95.7,198.9,149.3,88.3,110.5,253.6,82.4,283.7,271.4,355.9,1387.5,287.1,241,140.5,401.7
neyo_nba-allstar-game_2016,C#,,1,basketball,rnb,6.5,11.5,12.6,17.6,18.4,24.3,24.7,30.1,31,36,37,42.7,43.3,48.8,49.3,54.9,55.6,60.9,61.3,67.1,67.7,72.7,73.9,82.7,83,89.6,89.9,97.3,98.6,104.1,104.8,120.3,57.8,69.2,387.2,156.1,54.9,131.7,377.5,129.1,146.4,447.1,229.7,135.2,383.1,305.9,179.6,922.2
neyo_nba-regular-season-game_2020,D,,2,basketball,rnb,0.7,4.8,5.5,9.7,10.1,14.5,14.9,19.3,19.6,24,24.4,28.8,29.5,33.5,33.8,38.3,38.8,43.2,43.5,48,48.3,52.9,53.4,57.8,58.1,63.2,63.7,69.4,70.8,76.6,78.5,93.2,55.5,300.4,347.5,77.6,43.2,228.4,300.4,193.3,175.5,187.4,168.6,147.5,66.9,243.7,142.1,94.4
nicole-scherzinger_world-series_2019,F#,,6,baseball,pop,0.4,7.4,8.7,15.3,16.7,22.9,23.4,30.8,33.3,38.5,39.1,44.3,44.9,50.7,51.5,57.5,59.3,66.2,66.5,74.2,74.8,81.1,81.5,89.9,90.6,96.2,96.7,105.4,111.4,124.2,126,137.1,88.4,110.1,313,124.7,96.3,105.5,322.5,175.9,215.1,428.8,354.7,1019.2,407.9,642.3,2131.4,751.6
patrick-stump_world-series_2016,C,,0,baseball,rock,0.2,4.4,4.9,9.1,9.7,13.9,14.3,18.5,19,23.9,24.3,28.5,29.1,33.7,34.2,38.6,39.2,43.6,43.6,48.6,48.7,53.1,53.6,58.5,59,64.9,65.2,70.8,71.9,78.5,79.6,86.3,54,112,175,51,77.2,70.7,129.8,37.6,123.5,180.9,113.7,251.8,151.9,270.7,251.8,728.3
patti-labelle_world-series_2008,A,,9,baseball,rnb,0.1,7.2,8,14.1,14.9,22.9,23.5,29.8,30.4,38.7,39.3,48.3,48.7,55.7,56.5,62.4,63,71.6,72.5,79.3,79.7,86,87,94.1,94.9,102.1,102.8,112.8,113.6,129.9,130.5,145.2,110.7,96.9,588.6,87.8,331.1,306.4,316,85.3,929.3,331.2,449.7,199.2,368.8,1270.2,1532,2314.5
paul-simon_world-series_1986,A,TRUE,-3,baseball,rock,0.2,5.6,6.4,10.7,11.5,15.8,16.1,21.2,21.9,26.5,27.2,31.7,32.6,37.5,38.1,43.6,44.2,48.9,49.3,54.1,54.6,59.6,60,65.5,65.9,72.8,73.2,82,84.2,92.2,93.1,101.3,55.3,70,199,241.8,61.1,71.3,155.3,123.4,122.8,118.9,215.9,193,269.9,353.1,279,478.5
peabo-bryson_world-series_1992,D,,2,baseball,rnb,0.5,5.8,6.8,12,13.2,18.4,18.8,23.8,24.2,29.1,29.6,35.2,35.8,41,41.5,46.8,47.3,52.3,53.3,58.4,59.4,65.6,65.9,70.8,71.2,77.3,77.6,84.7,85.2,92.5,92.9,101.9,84.4,184.3,610.4,157.7,127.4,282.2,549.4,164,601.4,474.4,585.4,483.1,252.1,428.9,384.9,659.2
phillip-phillips_world-series_2012,Ab,TRUE,-4,baseball,pop,0.4,5.2,5.8,10.5,11,15.7,16,20.6,21,25.7,26.1,30.7,31.1,35.8,36.2,40.8,41.3,45.8,46.2,50.9,51.3,55.9,56.4,60.9,61.1,66.8,67.3,73.7,75.5,85.9,86.9,96.5,75.8,72.1,156.6,45.7,68.8,77.7,129.8,38.2,93,84.5,125,38.7,249.7,101.9,251.6,125.6
pia-toscano_memorial-day-concert_2022,F#,,6,political,pop,0.3,4.6,5.1,9.1,9.5,13.6,14,18.2,18.7,22.8,23.5,27.6,28.1,32.2,32.9,36.9,37.4,41.6,41.9,45.8,46.3,50.2,50.8,55.4,55.6,60.7,61.2,66.5,67.6,74.4,74.7,88.8,66.1,90.9,131.5,137.3,83.5,72.6,104.3,131.7,111.6,78.4,249.3,1218.2,616.2,225.3,660.1,1265.9
pink_super-bowl_2018,G,,7,football,pop,0.7,6.2,6.9,12.5,13.6,19.1,19.7,25.7,26.3,32.1,32.4,38.5,39.2,45,45.4,51.2,52,57.7,57.9,63.2,63.9,69.2,69.8,75.4,75.7,82.3,82.8,89.7,91.1,98.4,99.9,113.4,87.3,134.2,181.3,214.9,63.5,200.3,266.6,86.3,289.1,294.7,228.4,154.4,336.1,307.8,530.3,416.8
rachel-platten_world-series_2016,F,,5,baseball,pop,0.2,4.9,5.7,10.1,10.9,15.2,16,19.9,20.6,25.5,26.3,30.7,31.6,36.2,37,41.2,42.1,47.4,47.6,52.4,53.2,57.6,60,64.5,64.8,70.4,71.4,78.9,81.6,90.4,91.8,101.4,65.2,63,194.8,81.6,89.5,54.4,254.4,78.9,552.2,115.2,596.9,560.8,316.1,181.4,222.7,485.8
renee-fleming_super-bowl_2014,A,,9,football,classical,0.4,7.3,7.8,13.1,13.6,19.5,20,27.6,29.7,35.7,36.2,41.7,42.3,47.8,48.2,54.5,58.1,63.7,64.2,69.3,69.9,74.3,74.7,80.9,81.2,86,86.8,92.8,93.4,103.3,103.4,122.9,115.3,111.8,174.9,186.2,98,87.5,111.9,357.4,255.2,144.3,126,147.8,326.5,187.1,1386.5,3670.7
scotty-mccreery_world-series_2011,Ab,TRUE,-4,baseball,country,0.8,5.9,6.7,12.4,12.9,18,18.3,23.3,24.5,29.5,30,34.5,35.4,40.2,40.7,45.5,46.9,52.2,52.4,56.7,57.2,61.8,62.2,67.2,67.5,73.5,74.1,79.8,81.1,88,89.3,97.2,107.3,107.7,443.4,230.8,115.1,126.8,310,116.5,221,293.5,262.8,243.6,420.7,557.8,229.9,139.2
sheryl-crow_stanley-cup-playoffs_2018,F#,,6,hockey,rock,0.4,4,5.2,9.5,10.1,14.2,14.5,18.4,19.4,23.7,24.3,28.5,29.2,33,33.9,38,38.9,43.3,44,49.1,49.6,54.1,54.6,60.1,60.8,66.3,66.9,73.4,75.1,82.6,84,95.5,181.7,84.7,255,101.1,69.9,59,70.5,29.4,78.4,71.8,55.2,373.7,161.7,562.5,597.6,341.5
standard,Bb,,10,standard,standard,0.9,4,4.6,7.7,8.2,11.4,11.8,15,15.4,18.6,19,22.2,22.6,25.8,26.2,29.4,29.8,32.8,33.4,36.6,37,40.2,40.6,43.8,44.2,47.9,48.4,51.3,51.6,55,55.8,58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stephanie-mills_wnba-allstar-game_2003,G,,7,basketball,rnb,0.4,7.2,7.9,12.3,13.2,19,19.7,25,25.7,31.3,31.9,36.3,37.2,42.1,42.6,48.1,48.8,53.5,53.8,59.1,59.6,64.4,65.2,70.7,71,76.9,77.5,84.5,85.2,94.2,94.9,115.9,109.6,88,204,111,161.7,173.2,245.5,142.2,214.8,231,120.8,359.8,322.6,226.2,183.3,651.9
steven-tyler_indy-500_2001,G,,7,racing,rock,0.5,4.5,5.3,10,10.8,15,15.5,20.1,20.7,24.9,25.7,30.6,32,36.6,37.1,42.5,43.5,48.2,50.7,54.6,56.8,61.4,62.2,68.9,73.4,79.1,79.5,85.8,88.8,99.9,100.7,112.5,46.6,100.4,200.7,68.2,60.7,75.1,83.4,56,394,434.3,118.7,372.3,72.6,436.8,1222.5,338.7
taylor-swift_nfl-regular-season_2006,E,,4,football,country,0.5,5.5,6,10.8,11.5,16.4,17.2,21.9,22.5,27.5,28,32.9,33.5,38.5,39.1,44,44.6,49.5,49.9,54.9,55.5,60.5,61,66.1,66.6,72.7,73.1,78.7,79.3,89.1,90.1,99.4,83.5,64.1,153.2,26.8,82.2,44.3,107.3,82.4,120.8,342.1,142.7,49.9,166.1,106.1,259.4,87.6
taylor-swift_world-series_2008,E,,4,baseball,country,0.3,4.9,5.4,9.4,10.7,15.3,16,20.7,21.3,26,26.7,30.9,32,36.4,37.3,42.3,43.1,47.8,48.2,52.9,53.6,58.4,58.8,63.7,64.2,70.3,70.7,76.6,77.5,86,88.7,98,79.2,105.7,146.8,131.7,77.6,150.6,159,99.2,192.7,365.6,165.8,231.1,141.1,362.4,107.3,104.4
tpain_mlb-regular-season-game_2015,Eb,,3,baseball,rnb,0.5,8.4,9.2,16.3,17.5,23.1,23.5,28.7,29.7,36,37.1,43.9,44.7,49.3,49.9,54.6,55.6,61.3,62,69.4,70.8,76.4,77.1,82.4,83.2,88.8,89.3,96,97.7,108.8,109.8,125.2,153.1,205.6,329.5,157.3,250.7,332.5,446.3,444.7,624.2,374.7,477.5,592.6,215.5,758,627.4,1002.6
trace-adkins_rnc_2020,D,TRUE,-10,political,country,0.4,5.1,5.8,10.8,11.5,16.7,17.4,22.9,23.8,28.9,29.6,34.8,35.7,41.1,41.4,48.1,49.3,54.3,54.9,59.4,60.2,65,65.9,72.8,73.9,79.6,80.2,87,88.2,96.1,96.8,106.9,107.5,114.7,355.7,130.1,98.4,115.2,467.6,144.4,206,74,125.7,371.3,250.9,110.9,212.4,336.1
trisha-yearwood_world-series_2014,Eb,,3,baseball,country,0.8,4.7,5.2,9.4,9.7,13.9,14.3,18.5,19,23.2,23.8,27.9,28.5,32.6,33.1,37.3,37.9,42.1,42.3,46.7,47.3,51.5,52.1,56.6,57.2,62.5,63,68.1,68.5,76.1,76.6,84.7,44.5,53.7,118.6,98,39.5,79.8,79.8,83,120.4,125,77,129.1,288.7,119.2,162.3,266.2
usher_nba-finals_2015,Bb,TRUE,-2,basketball,rnb,0.3,4.9,5.3,10,10.4,15,15.4,20.1,20.6,29.5,30.6,38,40.7,45,45.7,50.9,53.3,58.2,58.7,63.2,63.7,67.8,68.5,74.5,76.2,85.8,87.2,95.6,96.3,103.4,103.7,118.1,65.9,87.3,142.9,107.7,463.6,316.6,105.6,115,226.5,228.4,200,372.3,405.6,434,200.6,699.1
whitney-houston_super-bowl_1991,Ab,,8,football,pop,0.3,5.3,6,11.1,11.8,17.2,17.5,23.1,23.7,29.4,29.8,35.6,36.3,42.1,42.5,48.5,49.3,54.7,55.1,61.2,61.7,67.8,68.5,74.8,75.3,82.6,83.1,91.2,91.8,99.2,99.6,116.2,176.4,116.6,324.7,184.4,259.5,235,749.3,255.1,466,287.6,178.9,122.2,514.2,445.1,432.8,666.8
whitney-houston_wnba-allstar-game_1999,F,,5,basketball,pop,0.4,6.9,7.7,11.9,13.2,18.2,18.6,23.2,23.8,28.6,29.5,33.8,34.8,39.3,40.1,44.7,46,50.1,50.5,56.1,56.6,60.7,62.2,66.3,66.6,72.9,73.8,84.9,85.1,89.8,90.3,111.2,79.1,146.6,394.3,120,98,156.7,377.6,205.8,189.5,194.5,232.9,311.7,501.8,378,489,933.8
zooey-deschanel_world-series_2011,Eb,,3,baseball,pop,0.3,6.8,7.7,13.4,14.7,20,20.4,26.3,27.9,34,34.5,39.8,40.8,46.4,46.9,52.5,53.8,59.3,59.8,65.1,65.6,69.6,70.2,75.2,75.7,81.9,82.7,89.4,91.2,96.3,96.9,105,69,64.4,204.6,110.6,47.6,41.5,190.2,162.7,353.2,87.8,161,205.5,329.2,224.7,190.6,141.8